output_type	file_count
footprints	548648
reads	162022
signal p-value	99650
alignments	94651
peaks	87838
fold change over control	51017
unfiltered alignments	45564
peaks and background as input for IDR	35272
pseudoreplicated peaks	30774
IDR thresholded peaks	29326
gene quantifications	19170
IDR ranked peaks	18491
plus strand signal of all reads	18228
minus strand signal of all reads	18227
transcript quantifications	18201
hotspots	17728
read-depth normalized signal	17642
minus strand signal of unique reads	17502
plus strand signal of unique reads	17500
signal of unique reads	15554
conservative IDR thresholded peaks	15209
optimal IDR thresholded peaks	15005
replicated peaks	13336
candidate Cis-Regulatory Elements	12452
transcriptome alignments	12161
thresholded links	10592
elements reference	9964
FDR cut rate	8556
kmer weights	7491
control normalized signal	6021
semi-automated genome annotation	5508
element gene links	5302
thresholded element gene links	5298
counts sequence contribution scores	4676
profile sequence contribution scores	4676
selected regions for predicted signal and sequence contribution scores	4670
signal of all reads	4571
sequence motifs instances	4383
TF binding prediction model	2879
index reads	2870
transcription start sites	2737
redacted alignments	2675
PWMs	2578
models	2382
training and test regions	2379
differential expression quantifications	2360
predicted signal profile	2341
sequence motifs	2338
observed signal profile (minus strand)	2329
observed signal profile (plus strand)	2329
sequence motifs report	2329
model performance metrics	2323
normalized observed signal profile (minus strand)	2323
normalized observed signal profile (plus strand)	2323
normalized predicted signal profile (minus strand)	2323
normalized predicted signal profile (plus strand)	2323
predicted signal profile (minus strand)	2323
predicted signal profile (plus strand)	2323
enhancer prediction model	2306
promoter prediction model	2306
signal	2248
guide quantifications	2246
mapping quality thresholded contact matrix	2242
methylation state at CpG	2145
unfiltered sparse gene count matrix of all reads	1820
unfiltered sparse gene count matrix of unique reads	1820
redacted unfiltered alignments	1702
unfiltered sparse splice junction count matrix of unique reads	1618
methylation state at CHG	1612
methylation state at CHH	1612
raw signal	1507
loops	1436
differential splicing quantifications	1416
pseudoreplicated IDR thresholded peaks	1402
genome compartments	1305
microRNA quantifications	1269
haplotype-specific nuclease cleavage frequency	1084
contact matrix	1059
observed control profile (minus strand)	1049
observed control profile (plus strand)	1049
haplotype-specific contact matrix	1046
genome subcompartments	1037
element quantifications	936
exon quantifications	901
candidate enhancers	891
filtered reads	766
contact domains	739
enrichment	696
nuclease cleavage frequency	639
merged transcription segment quantifications	582
transcription segment quantifications	582
candidate promoters	570
CpG sites coverage	528
minus strand methylation state at CpG	528
plus strand methylation state at CpG	528
minus strand signal	515
plus strand signal	515
rejected reads	431
contigs	422
fragments	402
splice junctions	369
transcriptome annotations	341
library fraction	301
pairs	285
idat green channel	279
idat red channel	275
chromatin stripes	258
bidirectional peaks	255
unidirectional peaks	243
filtered peaks	237
reporter code counts	227
divergent peaks	216
subreads	204
DHS peaks	198
base overlap signal	194
preprocessed alignments	194
sparse gene count matrix of all reads	188
sparse gene count matrix of unique reads	188
copy number variation	179
genic features quantifications	162
TSS reference	161
predicted transcription start sites	160
