term	in_encode	file_count	dataset_count
3D structure	no	0	0
CpG sites coverage	yes	528	211
DHS peaks	yes	198	93
DHS regions reference	yes	1	0
DNN-MPRA contribution scores	no	0	0
DNN-MPRA predicted signal	no	0	0
FDR cut rate	yes	8556	1897
HMM predicted chromatin state	yes	56	0
IDR ranked peaks	yes	18491	4528
IDR thresholded peaks	yes	29326	4528
PWMs	yes	2578	0
R2C2 subreads	yes	30	10
RNA-binding protein associated mRNAs	yes	92	34
TF binding prediction model	yes	2879	0
TF peaks matrix	yes	3	0
TSS reference	yes	161	0
UV enriched segment quantifications	yes	96	16
alignments	yes	94651	22503
alignments with modifications	yes	25	5
allele-specific contact matrix	no	0	0
allele-specific variants	yes	43	0
archr project	yes	18	8
base overlap signal	yes	194	186
bias models	yes	9	0
bias-corrected predicted signal profile	yes	18	0
bidirectional peaks	yes	255	231
candidate Cis-Regulatory Elements	yes	12452	0
candidate enhancers	yes	891	0
candidate promoters	yes	570	0
capture targets	no	0	0
cell coordinates	yes	5	5
cell topic participation	no	0	0
cell type annotations	yes	1	0
cell type data	yes	114	0
chromatin stripes	yes	258	258
chromosome sizes	yes	16	0
chromosomes reference	yes	2	0
clusters	yes	68	30
consensus DNase hypersensitivity sites	no	0	0
conservative IDR thresholded peaks	yes	15209	3769
contact domains	yes	739	275
contact matrix	yes	1059	475
contigs	yes	422	211
control normalized signal	yes	6021	1009
copy number variation	yes	179	64
counts sequence contribution scores	yes	4676	0
curated SNVs	yes	3	0
curated binding sites	yes	36	0
depth normalized signals matrix	yes	4	0
differential expression quantifications	yes	2360	472
differential splicing quantifications	yes	1416	472
diploid personal genome alignments	no	0	0
distal peaks	yes	8	0
divergent peaks	yes	216	216
dsQTLs	yes	27	0
eQTLs	yes	65	0
element barcode mapping	yes	42	0
element gene interactions p-value	no	0	0
element gene interactions signal	yes	20	0
element gene links	yes	5302	0
element quantifications	yes	936	0
elements reference	yes	9964	0
enhancer prediction model	yes	2306	0
enhancer validation	yes	21	0
enhancer-gene links	no	0	0
enhancers reference	yes	2	0
enrichment	yes	696	170
exclusion list regions	yes	22	0
exon quantifications	yes	901	323
female genome index	yes	14	0
female genome reference	yes	2	0
filtered SNPs	yes	5	5
filtered indels	yes	6	5
filtered modified peptide quantification	yes	12	6
filtered peaks	yes	237	10
filtered peptide quantification	yes	28	14
filtered reads	yes	766	367
filtered regions	yes	20	10
filtered transcribed fragments	yes	52	24
fine-mapped variants	yes	119	0
fold change over control	yes	51017	9380
fold over change matrix	yes	68	0
footprints	yes	548648	2035
fragments	yes	402	367
functional conservation mapping	yes	5	0
functional conservation quantifications	yes	48	0
gRNAs	yes	11	0
gene alignments	yes	36	8
gene quantifications	yes	19170	3893
gene stabilities	no	0	0
genic features quantifications	yes	162	81
genic regions quantifications	no	0	0
genome compartments	yes	1305	273
