# SSSOM Mapping file: ONGA -> Sequence Ontology (SO)
# curie_map:
#   onga: https://databio.org/onga/
#   SO: http://purl.obolibrary.org/obo/SO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://databio.org/onga/mappings/so
# mapping_set_description: ONGA subjects denote SETS of genomic elements; SO objects denote INDIVIDUAL element types, so the relation is membership, not equivalence. Membership rows use onga:has_element_type with an element_type_fit grade; skos:relatedMatch marks rows whose members are NOT instances; skos:exactMatch/closeMatch/broadMatch are banned against SO except for the two whitelisted SO classes that are themselves set-denoting.
# creator_id: https://orcid.org/0000-0001-5884-4247
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: 2026-08-31
# subject_source: https://databio.org/onga/
# object_source: SO
# object_source_version: so.obo 2026-08-07
# extension_definitions:
#   - slot_name: element_type_fit
#     property: https://databio.org/onga/element_type_fit
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#
# THE SET / ELEMENT RULE
# ----------------------
# An ONGA DataType or FeatureType term names a SET of genomic elements -- a
# file, a track, a set of rows. A Sequence Ontology class names an INDIVIDUAL
# element type. These are different kinds of thing, so ONGA never asserts
# identity, equivalence, or hierarchy against an SO class. ONGA is a USER of SO,
# not a competitor to it. See the ADR "ONGA terms denote sets; SO terms denote
# elements" and DECISIONS.md design principle #7.
#
# PREDICATE POLICY
# ----------------
#   onga:has_element_type  every row of a file bearing the subject term is an
#                          INSTANCE of the object SO class. This is the
#                          membership relation, not a mapping. Multi-element-type
#                          subjects (mixed sets) carry one row per SO class.
#   skos:relatedMatch      the members are NOT instances of the object class;
#                          the two concepts are merely associatively related
#                          (a model of a feature, a measurement about a feature,
#                          an assignment to a feature). This is the only SKOS
#                          predicate ONGA uses against an element-level SO class.
#   skos:exactMatch        BANNED against SO, except for the two whitelisted
#   skos:closeMatch        set-denoting SO classes below.
#   skos:broadMatch
#
# THE TWO WHITELISTED SET-TO-SET EXCEPTIONS
# -----------------------------------------
#   SO:0001505 reference_genome -- "A collection of sequences (often
#     chromosomes) taken as the standard for a given organism and genome
#     assembly."
#   SO:0001506 variant_genome -- "A collection of sequences (often chromosomes)
#     of an individual."
# Both SO classes are THEMSELVES set-denoting, so the level shift does not apply
# and a plain SKOS match is correct. scripts/build_so_sssom.py fails the build if
# any other SO id is given a SKOS *Match predicate.
#
# COLUMNS
# -------
#   subject_category   constant "genomic element set"      (ONGA side: a SET)
#   object_category    constant "sequence feature type"    (SO side: an ELEMENT)
#   element_type_fit   how tightly the SO class fits the members -- a curation
#                      grade, NOT a different relation:
#                        exact       the SO class is the tight fit
#                        approximate SO's nearest available class; imperfect
#                        broad       all members are instances but the SO class
#                                    is broader -- AN SO GAP, and the
#                                    machine-readable feed into
#                                    proposals/upstream_requests.yaml
#                      Empty on skos:* rows, where fit does not apply.
#
# Terms reviewed and found to have NO SO element type at all (signal values,
# matrices, models, edges) carry `element_type_fit: not_applicable` as an
# annotation on the permissible value in src/file_content.yaml and appear in no
# row here, since SSSOM requires an object.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	subject_category	object_category	element_type_fit	comment
onga:open_chromatin_regions	onga:has_element_type	SO:0001747	semapv:ManualMappingCuration	open chromatin regions	open_chromatin_region	genomic element set	sequence feature type	exact	Direct match
onga:footprints	onga:has_element_type	SO:0000235	semapv:ManualMappingCuration	footprints	TF_binding_site	genomic element set	sequence feature type	approximate	Nuclease footprint marks an inferred TF binding site; SO has no footprint term
onga:contact_domains	onga:has_element_type	SO:0002304	semapv:ManualMappingCuration	contact domains	topologically_associated_domain	genomic element set	sequence feature type	exact	ONGA definition is TADs verbatim
onga:nested_contact_domains	onga:has_element_type	SO:0002304	semapv:ManualMappingCuration	nested contact domains	topologically_associated_domain	genomic element set	sequence feature type	broad	Hierarchical nesting is not modeled in SO
onga:loops	onga:has_element_type	SO:0002307	semapv:ManualMappingCuration	loops	DNA_loop	genomic element set	sequence feature type	exact	Chromatin loop. NOTE: SO:0002254 'loop' is an RNA stem-loop, a lexical false friend
onga:methylation_state_at_CpG	onga:has_element_type	SO:0000114	semapv:ManualMappingCuration	methylation state at CpG	methylated_cytosine	genomic element set	sequence feature type	broad	SO has no sequence-context-specific methylation terms
onga:methylation_state_at_CHG	onga:has_element_type	SO:0000114	semapv:ManualMappingCuration	methylation state at CHG	methylated_cytosine	genomic element set	sequence feature type	broad	SO has no CHG-context term
onga:methylation_state_at_CHH	onga:has_element_type	SO:0000114	semapv:ManualMappingCuration	methylation state at CHH	methylated_cytosine	genomic element set	sequence feature type	broad	SO has no CHH-context term
onga:smoothed_methylation_state_at_CpG	onga:has_element_type	SO:0000114	semapv:ManualMappingCuration	smoothed methylation state at CpG	methylated_cytosine	genomic element set	sequence feature type	broad	Smoothing is provenance; content is CpG methylation
onga:candidate_Cis_Regulatory_Elements	onga:has_element_type	SO:0001055	semapv:ManualMappingCuration	candidate Cis-Regulatory Elements	transcriptional_cis_regulatory_region	genomic element set	sequence feature type	broad	cCREs mix enhancers/promoters/insulators; SO:0001055 is the correct common ancestor and 'candidate' is an ONGA derivation facet
onga:candidate_enhancers	onga:has_element_type	SO:0000165	semapv:ManualMappingCuration	candidate enhancers	enhancer	genomic element set	sequence feature type	broad	'candidate' is a derivation facet, not a distinct SO class
onga:predicted_enhancers	onga:has_element_type	SO:0000165	semapv:ManualMappingCuration	predicted enhancers	enhancer	genomic element set	sequence feature type	broad	'predicted' is a derivation facet
onga:enhancers_reference	onga:has_element_type	SO:0000165	semapv:ManualMappingCuration	enhancers reference	enhancer	genomic element set	sequence feature type	broad	Reference set of enhancers
onga:candidate_promoters	onga:has_element_type	SO:0000167	semapv:ManualMappingCuration	candidate promoters	promoter	genomic element set	sequence feature type	broad	'candidate' is a derivation facet
onga:promoters_reference	onga:has_element_type	SO:0000167	semapv:ManualMappingCuration	promoters reference	promoter	genomic element set	sequence feature type	broad	Reference set of promoters
onga:regulatory_elements	onga:has_element_type	SO:0000165	semapv:ManualMappingCuration	regulatory elements	enhancer	genomic element set	sequence feature type	exact	Mixed set; the ONGA definition enumerates enhancers, promoters, silencers, insulators
onga:regulatory_elements	onga:has_element_type	SO:0000167	semapv:ManualMappingCuration	regulatory elements	promoter	genomic element set	sequence feature type	exact	Mixed set; see the enhancer row
